Scaffold	start_pos	end_pos	intergenic_length	upstream_gene	downstream_gene
Super-Scaffold_100001	2431278	2523020	91742	g_32550	g_32551
Super-Scaffold_100001	2526277	2555085	28808	g_32551	g_32553
Super-Scaffold_100001	2555528	2555589	61	g_32553	g_32552
Super-Scaffold_100001	2556857	2685621	128764	g_32552	g_32554
Super-Scaffold_100001	2686010	2719844	33834	g_32554	g_32555
Super-Scaffold_100001	2721825	2755738	33913	g_32555	g_32556
Super-Scaffold_100001	2756621	2756854	233	g_32556	g_45526
Super-Scaffold_100001	2760340	2785055	24715	g_45526	g_32557
Super-Scaffold_100001	2785450	2898997	113547	g_32557	g_32561
Super-Scaffold_100001	2900090	2900369	279	g_32561	g_32562
Super-Scaffold_100001	2900932	2933487	32555	g_32562	g_32563
Super-Scaffold_100001	2933768	2985761	51993	g_32563	g_32565
Super-Scaffold_100001	2988504	3028494	39990	g_32565	g_32567
Super-Scaffold_100001	3031449	3061263	29814	g_32567	g_32569
Super-Scaffold_100001	3075930	3076390	460	g_32569	g_32570
Super-Scaffold_100001	3076656	3078692	2036	g_32570	g_32572
Super-Scaffold_100001	3080512	3088067	7555	g_32572	g_32573
Super-Scaffold_100001	3090733	3126594	35861	g_32573	g_32574
Super-Scaffold_100001	3130131	3134114	3983	g_32574	g_32575
Super-Scaffold_100001	3137897	3143266	5369	g_32575	g_32576
Super-Scaffold_100001	3144726	3146456	1730	g_32576	g_32577
Super-Scaffold_100001	3154149	3157532	3383	g_32577	g_32578
Super-Scaffold_100001	3161656	3163209	1553	g_32578	g_32579
Super-Scaffold_100001	3171375	3174961	3586	g_32579	g_32580
Super-Scaffold_100001	3185751	3190360	4609	g_32580	g_32581
Super-Scaffold_100001	3191322	3193534	2212	g_32581	g_32582
Super-Scaffold_100001	3194736	3202718	7982	g_32582	g_32583
Super-Scaffold_100001	3213081	3240591	27510	g_32583	g_32585
Super-Scaffold_100001	3248373	3266138	17765	g_32585	g_32587
Super-Scaffold_100001	3266365	3318120	51755	g_32587	g_32589
Super-Scaffold_100001	3318383	3323885	5502	g_32589	g_42551
Super-Scaffold_100001	3324295	3334030	9735	g_42551	g_32590
Super-Scaffold_100001	3334323	3360099	25776	g_32590	g_32591
Super-Scaffold_100001	3362468	3364633	2165	g_32591	g_32592
Super-Scaffold_100001	3372155	3376074	3919	g_32592	g_32593
Super-Scaffold_100001	3385671	3388376	2705	g_32593	g_32594
Super-Scaffold_100001	3394679	3443939	49260	g_32594	g_42555
Super-Scaffold_100001	3444160	3445058	898	g_42555	g_32595
Super-Scaffold_100001	3470994	3508544	37550	g_32595	g_32599
Super-Scaffold_100001	3508953	3516501	7548	g_32599	g_32600
Super-Scaffold_100001	3523045	3532001	8956	g_32600	g_45527
Super-Scaffold_100001	3532210	3554937	22727	g_45527	g_32601
Super-Scaffold_100001	3555254	3564790	9536	g_32601	g_42556
Super-Scaffold_100001	3564990	3587614	22624	g_42556	g_32602
Super-Scaffold_100001	3590623	3625440	34817	g_32602	g_32603
Super-Scaffold_100001	3625733	3652256	26523	g_32603	g_32604
Super-Scaffold_100001	3657560	3753396	95836	g_32604	g_32607
Super-Scaffold_100001	3753836	3797745	43909	g_32607	g_32608
Super-Scaffold_100001	3803407	3881757	78350	g_32608	g_32609
Super-Scaffold_100001	3885798	3891148	5350	g_32609	g_45528
Super-Scaffold_100001	3893539	3895233	1694	g_45528	g_32610
Super-Scaffold_100001	3934718	3950442	15724	g_32610	g_32611
Super-Scaffold_100001	3951547	3976786	25239	g_32611	g_45529
Super-Scaffold_100001	3997481	4008652	11171	g_45529	g_32612
Super-Scaffold_100001	4019932	4020953	1021	g_32612	g_32613
Super-Scaffold_100001	4022008	4023821	1813	g_32613	g_32615
Super-Scaffold_100001	4024408	4024733	325	g_32615	g_32616
Super-Scaffold_100001	4025356	4026881	1525	g_32616	g_32618
Super-Scaffold_100001	4027504	4027838	334	g_32618	g_32619
Super-Scaffold_100001	4028173	4028498	325	g_32619	g_32620
Super-Scaffold_100001	4048678	4070659	21981	g_32620	g_32621
Super-Scaffold_100001	4079166	4080946	1780	g_32621	g_32622
Super-Scaffold_100001	4095407	4124189	28782	g_32622	g_32624
Super-Scaffold_100001	4124431	4138056	13625	g_32624	g_32625
Super-Scaffold_100001	4139648	4161373	21725	g_32625	g_32626
Super-Scaffold_100001	4185710	4188046	2336	g_32626	g_32627
Super-Scaffold_100001	4188318	4198393	10075	g_32627	g_32629
Super-Scaffold_100001	4198929	4199942	1013	g_32629	g_32630
Super-Scaffold_100001	4200241	4203903	3662	g_32630	g_45530
Super-Scaffold_100001	4223358	4234041	10683	g_45530	g_32631
Super-Scaffold_100001	4258621	4332664	74043	g_32631	g_32634
Super-Scaffold_100001	4338585	4374098	35513	g_32634	g_42559
Super-Scaffold_100001	4374829	4410538	35709	g_42559	g_32635
Super-Scaffold_100001	4411067	4418022	6955	g_32635	g_32636
Super-Scaffold_100001	4418911	4464240	45329	g_32636	g_32638
Super-Scaffold_100001	4464553	4501541	36988	g_32638	g_32639
Super-Scaffold_100001	4508223	4524851	16628	g_32639	g_32640
Super-Scaffold_100001	4535892	4537846	1954	g_32640	g_45531
Super-Scaffold_100001	4548584	4561377	12793	g_45531	g_32641
Super-Scaffold_100001	4563001	4652918	89917	g_32641	g_32643
Super-Scaffold_100001	4653622	4663540	9918	g_32643	g_32644
Super-Scaffold_100001	4666760	4699843	33083	g_32644	g_32645
Super-Scaffold_100001	4704599	4747723	43124	g_32645	g_32646
Super-Scaffold_100001	4752909	4755686	2777	g_32646	g_45532
Super-Scaffold_100001	4758284	4771089	12805	g_45532	g_32647
Super-Scaffold_100001	4771541	4776420	4879	g_32647	g_45533
Super-Scaffold_100001	4780851	4783622	2771	g_45533	g_45534
Super-Scaffold_100001	4803692	4811161	7469	g_45534	g_32648
Super-Scaffold_100001	4814890	4817043	2153	g_32648	g_32649
Super-Scaffold_100001	4819789	4824280	4491	g_32649	g_32650
Super-Scaffold_100001	4828158	4885315	57157	g_32650	g_32651
Super-Scaffold_100001	4889192	4889411	219	g_32651	g_45535
Super-Scaffold_100001	4891183	4903182	11999	g_45535	g_32652
Super-Scaffold_100001	4908368	4918024	9656	g_32652	g_32653
Super-Scaffold_100001	4919524	4948890	29366	g_42561	g_32654
Super-Scaffold_100001	4949777	4950952	1175	g_32654	g_45536
Super-Scaffold_100001	4952016	4966510	14494	g_45536	g_32656
Super-Scaffold_100001	4969013	4977144	8131	g_32656	g_45537
Super-Scaffold_100001	4984626	4985600	974	g_45537	g_32657
Super-Scaffold_100001	4986865	4990857	3992	g_32657	g_32658
Super-Scaffold_100001	5019632	5042468	22836	g_32658	g_32660
Super-Scaffold_100001	5049429	5075116	25687	g_32660	g_32661
Super-Scaffold_100001	5092634	5109412	16778	g_32661	g_32662
Super-Scaffold_100001	5119568	5120558	990	g_32662	g_32663
Super-Scaffold_100001	5124190	5136423	12233	g_32663	g_32664
Super-Scaffold_100001	5136842	5148159	11317	g_32664	g_32665
Super-Scaffold_100001	5182120	5218041	35921	g_32665	g_32666
Super-Scaffold_100001	5226873	5230070	3197	g_32666	g_32667
Super-Scaffold_100001	5250863	5255910	5047	g_32667	g_32668
Super-Scaffold_100001	5257117	5262522	5405	g_32668	g_32669
Super-Scaffold_100001	5264826	5265434	608	g_32669	g_32670
Super-Scaffold_100001	5270981	5272466	1485	g_32670	g_32671
Super-Scaffold_100001	5280410	5492565	212155	g_32671	g_32672
Super-Scaffold_100001	5493314	5625839	132525	g_32672	g_32675
Super-Scaffold_100001	5626234	5870209	243975	g_32675	g_32680
Super-Scaffold_100001	5870607	5966903	96296	g_32680	g_32685
Super-Scaffold_100001	5967169	6006410	39241	g_32685	g_32687
Super-Scaffold_100001	6007480	6211834	204354	g_32687	g_32690
Super-Scaffold_100001	6212115	6228958	16843	g_32690	g_32691
Super-Scaffold_100001	6233791	6338784	104993	g_32691	g_32695
Super-Scaffold_100001	6339197	6365087	25890	g_32695	g_32696
Super-Scaffold_100001	6365374	6368141	2767	g_32696	g_32697
Super-Scaffold_100001	6369478	6369866	388	g_32697	g_32698
Super-Scaffold_100001	6371059	6371181	122	g_32698	g_32699
Super-Scaffold_100001	6371435	6418844	47409	g_32699	g_32700
Super-Scaffold_100001	6419104	6684146	265042	g_32700	g_32703
Super-Scaffold_100001	6685168	6686216	1048	g_32703	g_32704
Super-Scaffold_100001	6687616	6687653	37	g_32704	g_32705
Super-Scaffold_100001	6687991	6766253	78262	g_32705	g_32706
Super-Scaffold_100001	6791202	6819361	28159	g_32706	g_32708
Super-Scaffold_100001	6852407	6874575	22168	g_32708	g_45538
Super-Scaffold_100001	6876006	6884614	8608	g_45538	g_32709
Super-Scaffold_100001	6896317	6923539	27222	g_32709	g_32710
Super-Scaffold_100001	6977011	7019131	42120	g_32710	g_32711
Super-Scaffold_100001	7118140	7133090	14950	g_32711	g_32713
Super-Scaffold_100001	7133881	7154900	21019	g_32713	g_32714
Super-Scaffold_100001	7155169	7173925	18756	g_32714	g_32715
Super-Scaffold_100001	7175834	7177825	1991	g_32715	g_32716
Super-Scaffold_100001	7196484	7273096	76612	g_32716	g_32718
Super-Scaffold_100001	7273311	7474989	201678	g_32718	g_32720
Super-Scaffold_100001	7475264	7626414	151150	g_32720	g_32722
Super-Scaffold_100001	7627482	7654842	27360	g_32722	g_32724
Super-Scaffold_100001	7655530	7655676	146	g_32724	g_32725
Super-Scaffold_100001	7656740	7792858	136118	g_32725	g_32729
Super-Scaffold_100001	7818538	7913692	95154	g_32729	g_32732
Super-Scaffold_100001	7920490	8016890	96400	g_32732	g_32735
Super-Scaffold_100001	8040588	8044849	4261	g_32735	g_32736
Super-Scaffold_100001	8058281	8067189	8908	g_32736	g_32737
Super-Scaffold_100001	8091903	8094801	2898	g_32737	g_32738
Super-Scaffold_100001	8107544	8108284	740	g_32738	g_32739
Super-Scaffold_100001	8117984	8126251	8267	g_32739	g_32740
Super-Scaffold_100001	8135581	8140565	4984	g_32740	g_32741
Super-Scaffold_100001	8165362	8176697	11335	g_32741	g_32742
Super-Scaffold_100001	8177857	8183702	5845	g_32742	g_32743
Super-Scaffold_100001	8187167	8191968	4801	g_32743	g_32744
Super-Scaffold_100001	8212861	8260615	47754	g_32744	g_32745
Super-Scaffold_100001	8261115	8277271	16156	g_32745	g_32746
Super-Scaffold_100001	8350179	8361045	10866	g_32746	g_32747
Super-Scaffold_100001	8362937	8370628	7691	g_32747	g_32748
Super-Scaffold_100001	8383684	8394191	10507	g_32748	g_32749
Super-Scaffold_100001	8408956	8430488	21532	g_32749	g_32750
Super-Scaffold_100001	8441938	8443184	1246	g_32750	g_32751
Super-Scaffold_100001	8444844	8473132	28288	g_32751	g_32752
Super-Scaffold_100001	8473377	8502151	28774	g_32752	g_32753
Super-Scaffold_100001	8502963	8513173	10210	g_32753	g_32754
Super-Scaffold_100001	8513997	8518190	4193	g_32754	g_32755
Super-Scaffold_100001	8518599	8643607	125008	g_32755	g_32758
Super-Scaffold_100001	8643930	8686914	42984	g_32758	g_32759
Super-Scaffold_100001	8687927	8699997	12070	g_32759	g_32761
Super-Scaffold_100001	8702391	8702647	256	g_32761	g_32762
Super-Scaffold_100001	8703446	8774967	71521	g_32762	g_32763
Super-Scaffold_100001	8775263	8807611	32348	g_32763	g_32764
Super-Scaffold_100001	8807820	8817187	9367	g_32764	g_32765
Super-Scaffold_100001	8817408	8859814	42406	g_32765	g_32767
Super-Scaffold_100001	8860158	8885989	25831	g_32767	g_32768
Super-Scaffold_100001	8903820	8926923	23103	g_32768	g_45539
Super-Scaffold_100001	8933209	9026493	93284	g_45539	g_42586
Super-Scaffold_100001	9026801	9145345	118544	g_42586	g_32772
Super-Scaffold_100001	9146805	9292725	145920	g_32773	g_32774
Super-Scaffold_100001	9293429	9618605	325176	g_32774	g_32777
Super-Scaffold_100001	9619132	9667172	48040	g_32777	g_32778
Super-Scaffold_100001	9689812	9691973	2161	g_32778	g_32780
Super-Scaffold_100001	9692191	9750056	57865	g_32780	g_32781
Super-Scaffold_100001	9751878	9852499	100621	g_32781	g_32782
Super-Scaffold_100001	9852864	9933419	80555	g_32782	g_32784
Super-Scaffold_100001	9953086	10021273	68187	g_32784	g_32785
Super-Scaffold_100001	10024744	10135862	111118	g_32785	g_32787
Super-Scaffold_100001	10137959	10204125	66166	g_32787	g_32789
Super-Scaffold_100001	10213026	10215949	2923	g_32789	g_32790
Super-Scaffold_100001	10216206	10216803	597	g_32790	g_32791
Super-Scaffold_100001	10239981	10241417	1436	g_32791	g_32792
Super-Scaffold_100001	10241653	10247099	5446	g_32792	g_32793
Super-Scaffold_100001	10264824	10275344	10520	g_32793	g_32794
Super-Scaffold_100001	10288917	10345782	56865	g_32794	g_32796
Super-Scaffold_100001	10380391	10433839	53448	g_32796	g_32798
Super-Scaffold_100001	10434567	10452030	17463	g_32798	g_42593
Super-Scaffold_100001	10452296	10457364	5068	g_42593	g_32799
Super-Scaffold_100001	10459508	10479032	19524	g_32799	g_32800
Super-Scaffold_100001	10499389	10532171	32782	g_32800	g_32801
Super-Scaffold_100001	10538207	10549513	11306	g_32801	g_45540
Super-Scaffold_100001	10560157	10585784	25627	g_45540	g_32804
Super-Scaffold_100001	10621915	10623377	1462	g_32804	g_45541
Super-Scaffold_100001	10623628	10643487	19859	g_45541	g_42594
Super-Scaffold_100001	10643699	10660840	17141	g_42594	g_32807
Super-Scaffold_100001	10665205	10680089	14884	g_32807	g_32809
Super-Scaffold_100001	10696679	10700232	3553	g_32809	g_32810
Super-Scaffold_100001	10700759	10701946	1187	g_32810	g_32811
Super-Scaffold_100001	10702260	10717907	15647	g_32811	g_32812
Super-Scaffold_100001	10725800	10726067	267	g_32812	g_42598
Super-Scaffold_100001	10726360	10735795	9435	g_42598	g_32813
Super-Scaffold_100001	10736418	10739398	2980	g_32813	g_32815
Super-Scaffold_100001	10739604	10740448	844	g_32815	g_32816
Super-Scaffold_100001	10740705	10769431	28726	g_32816	g_32817
Super-Scaffold_100001	10770234	10772732	2498	g_32817	g_32818
Super-Scaffold_100001	10773544	10776046	2502	g_32818	g_32819
Super-Scaffold_100001	10776855	10786472	9617	g_32819	g_32820
Super-Scaffold_100001	10787278	10789779	2501	g_32820	g_32821
Super-Scaffold_100001	10790585	10793086	2501	g_32821	g_32822
Super-Scaffold_100001	10793886	10796387	2501	g_32822	g_32823
Super-Scaffold_100001	10797190	10799686	2496	g_32823	g_32824
Super-Scaffold_100001	10800495	10802984	2489	g_32824	g_32825
Super-Scaffold_100001	10803796	10806298	2502	g_32825	g_32826
Super-Scaffold_100001	10807143	10809642	2499	g_32826	g_32827
Super-Scaffold_100001	10810556	10816364	5808	g_32827	g_42599
Super-Scaffold_100001	10816888	10825082	8194	g_42599	g_32830
Super-Scaffold_100001	10825544	10825740	196	g_32830	g_32831
Super-Scaffold_100001	10826387	10827435	1048	g_32831	g_32832
Super-Scaffold_100001	10828445	10868976	40531	g_32832	g_32833
Super-Scaffold_100001	10870283	10911999	41716	g_32833	g_32834
Super-Scaffold_100001	10914910	10938152	23242	g_32834	g_32835
Super-Scaffold_100001	10938602	10938883	281	g_32835	g_32836
Super-Scaffold_100001	10939554	10947666	8112	g_32836	g_32837
Super-Scaffold_100001	10949711	10951603	1892	g_32837	g_45542
Super-Scaffold_100001	10957762	10959892	2130	g_45542	g_32838
Super-Scaffold_100001	10998499	11001130	2631	g_32838	g_32839
Super-Scaffold_100001	11004398	11011356	6958	g_32839	g_32840
Super-Scaffold_100001	11014215	11026427	12212	g_32840	g_32841
Super-Scaffold_100001	11029151	11033186	4035	g_32841	g_32842
Super-Scaffold_100001	11034739	11044150	9411	g_32842	g_32843
Super-Scaffold_100001	11048570	11059514	10944	g_32843	g_32844
Super-Scaffold_100001	11061744	11064167	2423	g_32844	g_32845
Super-Scaffold_100001	11064556	11076944	12388	g_32845	g_32846
Super-Scaffold_100001	11100120	11144777	44657	g_32846	g_32847
Super-Scaffold_100001	11156637	11159544	2907	g_32847	g_45543
Super-Scaffold_100001	11161960	11208381	46421	g_45543	g_32848
Super-Scaffold_100001	11223364	11227501	4137	g_32848	g_32849
Super-Scaffold_100001	11296539	11306703	10164	g_32849	g_32850
Super-Scaffold_100001	11313345	11316734	3389	g_32850	g_32851
Super-Scaffold_100001	11320555	11321954	1399	g_32851	g_32852
Super-Scaffold_100001	11328104	11496364	168260	g_32852	g_32856
Super-Scaffold_100001	11518768	11520382	1614	g_32856	g_32857
Super-Scaffold_100001	11525851	11528251	2400	g_32857	g_32858
Super-Scaffold_100001	11533587	11536254	2667	g_32858	g_32859
Super-Scaffold_100001	11540226	11541014	788	g_32859	g_32860
Super-Scaffold_100001	11543250	11546644	3394	g_32860	g_32861
Super-Scaffold_100001	11562236	11562524	288	g_32861	g_32862
Super-Scaffold_100001	11575758	11578296	2538	g_32862	g_32863
Super-Scaffold_100001	11588785	11592251	3466	g_32863	g_32864
Super-Scaffold_100001	11604258	11621803	17545	g_32864	g_32865
Super-Scaffold_100001	11622285	11638798	16513	g_32865	g_32867
Super-Scaffold_100001	11640267	11640444	177	g_32867	g_32868
Super-Scaffold_100001	11658125	11672547	14422	g_32868	g_32870
Super-Scaffold_100001	11679892	11686299	6407	g_32870	g_32871
Super-Scaffold_100001	11694213	11709335	15122	g_32871	g_32873
Super-Scaffold_100001	11726936	11732385	5449	g_32873	g_32874
Super-Scaffold_100001	11754153	11765988	11835	g_32874	g_32876
Super-Scaffold_100001	11771651	11775138	3487	g_32876	g_32877
Super-Scaffold_100001	11832547	11862292	29745	g_32877	g_32879
Super-Scaffold_100001	11864686	11867220	2534	g_32879	g_32880
Super-Scaffold_100001	11873992	11908309	34317	g_32880	g_32882
Super-Scaffold_100001	11909223	11911143	1920	g_32882	g_32883
Super-Scaffold_100001	11916783	11943502	26719	g_32883	g_42604
Super-Scaffold_100001	11943750	11959390	15640	g_42604	g_32884
Super-Scaffold_100001	11966058	11979718	13660	g_32884	g_32885
Super-Scaffold_100001	11983389	11997739	14350	g_32885	g_32886
Super-Scaffold_100001	12001256	12003412	2156	g_32886	g_32887
Super-Scaffold_100001	12008355	12048242	39887	g_32887	g_32888
Super-Scaffold_100001	12050261	12108272	58011	g_32888	g_32889
Super-Scaffold_100001	12110448	12121423	10975	g_32889	g_32890
Super-Scaffold_100001	12126323	12128120	1797	g_32890	g_45544
Super-Scaffold_100001	12133293	12135506	2213	g_45544	g_32891
Super-Scaffold_100001	12135919	12142166	6247	g_32891	g_32893
Super-Scaffold_100001	12150684	12151644	960	g_32893	g_45545
Super-Scaffold_100001	12160510	12161029	519	g_45545	g_32894
Super-Scaffold_100001	12163602	12168709	5107	g_32894	g_32895
Super-Scaffold_100001	12174360	12174999	639	g_32895	g_32896
Super-Scaffold_100001	12177111	12187759	10648	g_32896	g_32897
Super-Scaffold_100001	12188178	12188275	97	g_32897	g_32898
Super-Scaffold_100001	12211517	12221214	9697	g_32898	g_32899
Super-Scaffold_100001	12221603	12223790	2187	g_32899	g_32900
Super-Scaffold_100001	12238394	12284353	45959	g_32900	g_32902
Super-Scaffold_100001	12305211	12311168	5957	g_32902	g_32903
Super-Scaffold_100001	12311533	12324347	12814	g_32903	g_32904
Super-Scaffold_100001	12332701	12341849	9148	g_32904	g_32905
Super-Scaffold_100001	12378554	12397735	19181	g_32906	g_32907
Super-Scaffold_100001	12399829	12433185	33356	g_32907	g_32908
Super-Scaffold_100001	12434106	12443835	9729	g_32908	g_32909
Super-Scaffold_100001	12445672	12446502	830	g_32909	g_32910
Super-Scaffold_100001	12453683	12454738	1055	g_32910	g_32911
Super-Scaffold_100001	12474717	12514666	39949	g_32911	g_32915
Super-Scaffold_100001	12525671	12545098	19427	g_32915	g_32916
Super-Scaffold_100001	12561500	12578429	16929	g_32916	g_32917
Super-Scaffold_100001	12583683	12583803	120	g_32917	g_32918
Super-Scaffold_100001	12592796	12600349	7553	g_32918	g_32919
Super-Scaffold_100001	12613333	12628383	15050	g_32919	g_32920
Super-Scaffold_100001	12637553	12691212	53659	g_32920	g_32921
Super-Scaffold_100001	12699031	12704023	4992	g_32921	g_32922
Super-Scaffold_100001	12712719	12724055	11336	g_32922	g_32923
Super-Scaffold_100001	12734444	12740515	6071	g_32923	g_32924
Super-Scaffold_100001	12743934	12744434	500	g_32924	g_32925
Super-Scaffold_100001	12749583	12757967	8384	g_32925	g_32926
Super-Scaffold_100001	12758347	12758559	212	g_32926	g_32927
Super-Scaffold_100001	12769851	12774777	4926	g_32927	g_32928
Super-Scaffold_100001	12775001	12776244	1243	g_32928	g_32929
Super-Scaffold_100001	12778001	12782698	4697	g_32929	g_32930
Super-Scaffold_100001	12792385	12796495	4110	g_32930	g_32931
Super-Scaffold_100001	12801028	12825882	24854	g_32931	g_32932
Super-Scaffold_100001	12828120	12832755	4635	g_42607	g_32933
Super-Scaffold_100001	12834503	12863129	28626	g_32933	g_32936
Super-Scaffold_100001	12867151	12868813	1662	g_32936	g_32937
Super-Scaffold_100001	12872841	12885492	12651	g_32937	g_32938
Super-Scaffold_100001	12889149	12900052	10903	g_32938	g_32940
Super-Scaffold_100001	12900333	12904743	4410	g_32940	g_32941
Super-Scaffold_100001	12913971	12918735	4764	g_32941	g_32942
Super-Scaffold_100001	12918980	12941369	22389	g_32942	g_32943
Super-Scaffold_100001	12964573	12974617	10044	g_32943	g_32945
Super-Scaffold_100001	12988894	12995118	6224	g_32945	g_32946
Super-Scaffold_100001	13015082	13019821	4739	g_32946	g_32947
Super-Scaffold_100001	13021011	13054643	33632	g_32947	g_32948
Super-Scaffold_100001	13105979	13110696	4717	g_32948	g_32949
Super-Scaffold_100001	13115576	13128050	12474	g_32949	g_32950
Super-Scaffold_100001	13137910	13140236	2326	g_32950	g_32951
Super-Scaffold_100001	13147569	13166766	19197	g_32951	g_32952
Super-Scaffold_100001	13171111	13188692	17581	g_42610	g_32954
Super-Scaffold_100001	13194096	13198500	4404	g_32954	g_45546
Super-Scaffold_100001	13212631	13215960	3329	g_45546	g_32955
Super-Scaffold_100001	13218098	13262224	44126	g_32955	g_32956
Super-Scaffold_100001	13262451	13287639	25188	g_32956	g_32957
Super-Scaffold_100001	13287956	13301558	13602	g_32957	g_32958
Super-Scaffold_100001	13302007	13304411	2404	g_32958	g_32959
Super-Scaffold_100001	13326914	13347241	20327	g_32959	g_42612
Super-Scaffold_100001	13347444	13391707	44263	g_42612	g_42613
Super-Scaffold_100001	13391982	13403489	11507	g_42613	g_32963
Super-Scaffold_100001	13405084	13415606	10522	g_32963	g_32964
Super-Scaffold_100001	13419012	13421981	2969	g_32964	g_32965
Super-Scaffold_100001	13428363	13459286	30923	g_32965	g_42615
Super-Scaffold_100001	13459525	13497311	37786	g_42615	g_32967
Super-Scaffold_100001	13497514	13543000	45486	g_32967	g_32968
Super-Scaffold_100001	13543200	13543792	592	g_32968	g_32969
Super-Scaffold_100001	13544016	13593086	49070	g_32969	g_32971
Super-Scaffold_100001	13646378	13649424	3046	g_32971	g_32972
Super-Scaffold_100001	13652046	13671846	19800	g_32972	g_32975
Super-Scaffold_100001	13672166	13684431	12265	g_32975	g_32976
