qseqid qstart qend sstart send
DmH1Tryp3a2_738nt 189 448 4729859 4729600
DmH1Tryp3a2_738nt 34 188 4730485 4730331
DmH1Tryp3a2_738nt 1 40 4730625 4730586
DmH1TLP1_750nt 1 40 4731703 4731742
DmH1TLP1_750nt 40 196 4732022 4732178
DmH1TLP1_750nt 295 460 4732625 4732790
DmH1TLP1_750nt 463 596 4733779 4733912
DmH1TLP1_750nt 598 748 4734000 4734149
Cgob_cblc-201_1263nt 879 1065 4737354 4737156
Cgob_cblc-201_1263nt 751 882 4739858 4739727
Cgob_cblc-201_1263nt 658 751 4740129 4740036
Cgob_cblc-201_1263nt 523 662 4740349 4740210
Cgob_cblc-201_1263nt 397 524 4740989 4740862
Cgob_cblc-201_1263nt 247 402 4741879 4741724
Cgob_cblc-201_1263nt 44 252 4742166 4741959
Cgob_BCL3-201_837nt 369 447 4765280 4765358
Cgob_BCL3-201_837nt 446 615 4765683 4765852
Cgob_ddx6_1452nt 160 221 4769902 4769963
Cgob_ddx6_1452nt 222 338 4770077 4770194
Cgob_ddx6_1452nt 325 457 4770535 4770667
Cgob_ddx6_1452nt 447 604 4770975 4771130
Cgob_ddx6_1452nt 601 700 4771246 4771345
Cgob_ddx6_1452nt 698 822 4771443 4771567
Cgob_ddx6_1452nt 822 951 4771654 4771783
Cgob_ddx6_1452nt 1138 1235 4772537 4772634
Cgob_ddx6_1452nt 1232 1452 4772757 4772977
DmH1TOMM40_1008nt 1 215 4777878 4778091
DmH1TOMM40_1008nt 210 372 4778224 4778386
DmH1TOMM40_1008nt 371 474 4778657 4778760
DmH1TOMM40_1008nt 473 581 4778843 4778951
DmH1TOMM40_1008nt 577 703 4779576 4779702
DmH1TOMM40_1008nt 763 869 4780126 4780232
DmH1TOMM40_1008nt 867 1008 4780346 4780487
Cgob_BCL3-201_837nt 446 615 4797230 4797061
Cgob_BCL3-201_837nt 369 447 4797626 4797547
DmH1Tryp3a2_738nt 579 656 10310779 10310703
DmH1Tryp1d_729nt 193 432 14020055 14019816
DmH1Tryp1d_729nt 193 432 14023864 14023625
